ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
883	132	0	90	163	57	226	70
884	132	0	136	163	57	304	70
885	132	0	90	163	57	304	70
886	133	113	137	162	95	305	101
887	133	120	137	164	95	306	101
888	5	125	6	4	5	4	1
889	5	6	16	9	5	3	1
890	11	3	12	38	109	94	2
891	7	10	16	11	5	2	1
892	4	4	4	3	2	1	115
893	145	1	11	3	3	1	7
894	146	1	12	16	3	1	7
895	5	7	147	4	5	4	1
896	4	4	4	3	2	1	116
897	76	71	149	48	110	295	1
898	2	9	135	14	98	1	5
899	5	5	17	166	12	96	6
900	5	8	5	4	6	2	1
901	5	10	3	7	1	26	6
902	5	10	3	7	5	6	6
903	5	10	3	7	5	26	6
904	5	10	3	21	5	2	6
905	5	10	3	21	5	26	6
906	5	10	3	30	6	3	1
907	5	10	3	177	5	6	6
908	5	10	10	7	5	26	6
909	5	13	10	6	1	312	1
910	5	29	2	7	6	2	1
911	5	29	2	7	13	2	1
912	5	47	10	173	13	2	1
913	5	47	10	185	1	314	1
914	5	124	10	173	13	2	104
915	5	127	10	173	13	2	1
916	5	128	6	7	40	4	1
917	6	5	2	6	13	302	6
918	6	6	8	137	12	2	1
919	6	6	8	180	12	2	1
920	7	5	10	4	1	302	6
921	7	5	10	21	6	4	1
922	7	5	140	174	13	3	1
923	7	6	2	7	1	7	6
924	7	6	10	30	5	2	1
925	7	6	16	6	5	7	1
926	7	6	19	8	1	2	1
927	7	6	19	8	13	2	1
928	7	6	138	6	5	7	1
929	7	10	8	21	1	7	1
930	7	10	17	20	12	26	1
931	7	15	17	6	5	25	1
932	7	15	17	6	5	26	1
933	7	15	17	181	5	26	1
934	7	27	16	4	5	4	1
935	7	47	10	68	1	2	1
936	7	47	10	172	13	302	1
937	7	121	10	175	5	26	1
938	7	122	8	6	1	4	1
939	7	123	10	67	13	314	1
940	7	128	10	174	13	3	1
941	7	128	140	174	108	3	1
942	15	10	18	18	107	3	1
943	41	33	142	144	101	246	28
944	53	47	10	6	13	24	1
945	53	47	10	67	13	2	1
946	53	47	10	67	13	3	1
947	113	10	10	4	1	3	103
948	113	46	10	183	5	308	104
949	113	47	3	173	13	2	1
950	113	47	10	173	1	314	1
951	113	47	10	184	5	308	104
952	113	126	10	173	1	314	1
953	134	130	118	171	32	317	105
954	136	122	139	20	1	26	1
955	137	47	10	187	1	2	1
956	138	10	10	149	13	3	104
957	139	130	146	168	102	315	109
958	140	30	144	171	33	309	108
959	140	30	144	171	33	309	106
960	140	30	144	171	33	309	111
961	141	131	35	187	75	164	107
962	142	130	21	187	16	317	105
963	142	130	118	171	32	317	105
964	142	131	21	171	33	311	105
965	142	131	21	171	75	311	114
966	142	131	21	171	75	311	113
967	142	131	21	187	16	319	105
968	142	131	118	171	32	317	105
969	142	131	148	148	16	317	105
970	142	131	148	188	16	317	105
971	142	132	21	171	75	311	114
972	144	30	21	171	104	319	112
973	144	30	21	171	105	319	112
974	144	30	141	187	32	318	110
975	144	30	144	171	106	310	106
976	144	130	143	171	16	319	106
977	144	131	21	186	99	317	106
978	144	131	35	170	32	316	1
979	144	131	140	187	103	313	105
980	144	131	145	187	33	313	112
981	144	131	145	187	106	313	105
982	144	133	21	187	99	317	106
983	7	134	10	6	13	2	41
984	142	133	35	178	16	319	107
985	5	135	10	179	1	3	1
986	144	133	35	187	75	164	107
987	135	129	150	187	100	316	30
988	144	129	151	178	112	311	106
989	139	130	146	168	113	315	109
990	5	47	3	6	111	3	1
991	81	5	10	6	1	8	1
992	1	9	12	3	7	5	3
993	7	14	37	127	6	27	1
994	7	10	16	198	5	2	1
995	5	8	5	7	6	2	41
996	7	14	37	6	127	27	1
997	5	8	170	7	6	2	1
998	41	22	43	205	70	111	28
999	170	1	9	1	3	5	5
1000	172	9	135	3	3	1	4
1001	3	1	1	1	133	1	3
1002	131	141	171	204	134	339	27
1003	20	58	21	206	17	123	56
1004	7	106	8	147	1	340	6
1005	171	142	172	207	135	244	137
1006	6	15	3	116	1	2	85
1007	5	10	10	116	1	3	1
1008	173	140	173	208	136	341	138
1009	2	1	11	3	3	1	139
1010	65	21	40	33	45	170	53
1011	6	5	85	4	1	207	1
1012	175	6	8	209	6	37	140
1013	61	6	3	4	1	26	1
1014	23	5	19	210	13	24	6
1015	53	13	6	4	1	2	1
1016	5	97	8	20	5	8	1
1017	3	1	1	1	3	1	141
1018	177	144	2	29	5	3	1
1019	176	10	66	18	1	3	1
1020	7	10	16	7	5	344	1
1021	17	13	102	6	1	7	34
1022	5	6	2	29	5	345	1
1023	27	54	64	74	22	123	55
1024	5	143	8	7	5	3	1
1025	5	6	175	29	5	3	1
1026	52	1	1	17	2	1	5
1027	178	1	1	1	3	1	3
1028	1	145	11	11	2	1	5
1029	6	5	6	4	1	218	1
1030	6	146	6	4	1	4	1
1031	6	147	6	4	1	4	1
1032	2	1	11	211	3	1	7
1033	3	1	1	1	3	346	3
1034	3	148	1	1	3	1	3
1035	6	149	6	4	1	4	1
1036	179	6	19	6	1	24	1
1037	180	150	137	164	95	323	101
1038	7	15	15	8	6	14	142
1039	1	18	12	3	2	1	5
1040	2	1	11	3	3	9	7
1041	2	1	135	38	3	1	2
1042	2	12	12	3	3	1	2
1043	7	6	8	21	6	37	6
1044	7	6	10	72	6	37	1
1045	7	10	16	7	5	41	1
1046	11	3	12	38	2	1	2
1047	11	12	4	3	3	1	7
1048	12	9	135	3	3	1	2
1049	12	12	12	1	3	1	5
1050	22	11	21	24	70	123	55
1051	41	41	53	73	16	156	50
1052	53	143	10	67	13	3	41
1053	59	11	21	51	32	159	44
1054	61	10	8	29	1	7	1
1055	138	10	8	68	1	3	1
1056	138	47	16	6	1	2	1
1057	203	8	5	7	1	2	1
1058	38	31	42	47	28	108	1
1059	53	170	10	18	1	370	6
1060	7	47	10	222	13	3	1
1061	1	1	27	17	2	1	5
1062	5	27	3	6	13	2	6
1063	2	1	11	3	3	28	7
1064	30	6	10	241	6	37	1
1065	7	171	10	6	1	3	1
1066	7	49	8	242	5	2	103
1067	116	33	193	243	89	111	160
1068	5	10	3	6	150	26	1
1069	204	105	194	24	151	145	161
1070	189	159	99	225	32	371	150
1071	7	47	10	6	1	7	1
1072	7	156	59	221	140	123	1
1073	5	5	195	6	5	26	48
1074	11	1	4	43	69	1	2
1075	1	1	1	3	3	1	2
1076	205	172	8	8	1	26	103
1077	206	5	196	244	5	314	6
1078	113	173	10	4	1	372	103
1079	2	2	12	43	2	1	162
1080	7	5	17	6	1	151	85
1081	5	97	17	6	5	358	6
1082	93	15	17	212	1	6	1
1083	181	152	177	214	138	347	143
1084	182	153	178	215	128	348	126
1085	188	157	182	223	136	353	148
1086	190	23	183	97	45	192	152
1087	191	21	184	110	45	356	16
1088	192	160	185	226	142	357	143
1089	190	23	183	97	45	362	152
1090	163	164	189	232	64	363	156
1091	163	138	190	233	64	364	157
1092	201	169	85	237	149	369	159
1093	2	1	179	3	3	1	7
1094	2	1	11	3	144	1	7
1095	2	1	11	235	3	1	7
1096	2	1	11	239	3	1	7
1097	3	1	1	1	3	1	146
1098	3	1	12	230	2	1	5
1099	3	1	12	234	2	1	5
1100	3	167	9	3	3	1	5
1101	3	9	9	3	3	366	5
1102	34	12	11	16	3	1	151
1103	34	12	187	16	3	1	2
1104	52	1	176	3	2	1	5
1105	172	9	135	3	3	1	154
1106	187	1	11	3	3	1	7
1107	194	1	57	3	2	1	2
1108	5	6	8	217	6	7	34
1109	5	97	10	7	39	351	48
1110	5	166	10	6	1	7	1
1111	5	8	5	236	6	2	1
1112	5	6	8	62	148	7	34
1113	6	5	188	4	1	4	1
1114	6	5	6	4	1	365	1
1115	6	5	191	4	1	4	1
1116	6	5	6	4	1	368	1
1117	7	6	8	219	6	7	1
1118	7	10	17	18	5	352	1
1119	7	6	3	6	5	7	149
1120	7	10	16	7	145	2	1
1121	7	10	17	6	146	96	1
1122	7	10	16	238	5	2	1
1123	15	163	18	18	1	3	1
1124	53	47	8	240	13	3	41
1125	184	154	2	139	6	14	1
1126	186	6	17	6	1	2	1
1127	195	162	10	228	1	3	1
1128	197	15	15	8	6	14	142
1129	202	7	6	4	5	4	1
1130	20	33	180	218	139	164	46
1131	41	71	129	220	16	201	145
1132	41	161	43	144	16	111	28
1133	44	40	50	59	24	360	26
1134	56	165	61	72	41	155	43
1135	58	71	78	73	16	285	147
1136	58	158	99	224	141	354	150
1137	71	151	53	213	16	206	93
1138	183	32	68	216	41	349	50
1139	185	155	181	146	89	350	144
1140	189	159	99	225	32	355	150
1141	193	129	50	227	25	73	153
1142	196	68	186	229	143	359	155
1143	198	30	171	231	97	361	50
1144	199	168	192	126	89	73	94
1145	200	117	134	157	147	367	158
1146	1	2	197	245	2	5	3
1147	1	1	12	17	2	1	7
1148	1	174	7	2	4	1	5
1149	1	3	7	2	5	1	2
1150	1	2	9	1	5	5	3
1151	2	1	11	246	3	1	7
1152	3	1	12	1	3	1	3
1153	5	6	2	1	3	2	1
1154	5	175	3	5	1	8	6
1155	5	7	3	5	1	8	163
1156	5	7	3	5	1	373	6
1157	5	8	5	7	6	2	164
1158	7	52	8	6	3	2	1
1159	7	52	8	6	152	2	1
1160	7	5	10	21	1	323	1
1161	15	10	18	18	3	3	1
1162	17	13	8	6	5	3	1
1163	208	1	1	1	3	1	3
1164	6	176	6	4	1	4	1
1165	7	6	15	6	153	2	1
1166	12	1	4	14	3	374	4
1167	209	5	6	4	1	4	1
1168	1	1	11	11	154	1	5
1169	3	1	1	1	3	1	165
1170	1	3	7	2	155	1	2
1171	1	1	11	11	2	375	5
1172	6	5	6	247	1	4	1
1173	3	9	9	3	3	1	18
1174	41	71	198	148	110	377	100
1175	71	151	53	72	16	295	169
1176	9	10	15	6	156	265	1
1177	7	14	10	19	9	378	1
1178	187	1	11	3	3	90	7
1179	11	3	12	38	3	379	2
1180	92	117	199	113	157	380	170
1181	5	7	3	5	1	381	6
1182	185	178	200	249	158	382	171
1183	212	179	118	250	159	383	111
1184	116	33	201	251	160	111	105
1185	41	36	46	54	161	115	28
1186	1	3	48	90	3	30	4
1187	213	30	202	48	75	360	172
1188	40	40	42	52	32	113	25
1189	214	180	203	252	32	384	173
1190	215	181	204	54	70	111	28
1191	20	182	21	83	25	385	113
1192	40	30	42	52	32	386	25
1193	127	33	13	146	89	387	174
1194	116	33	204	253	34	388	28
1195	41	33	204	54	151	285	175
1196	41	33	205	144	70	246	28
1197	42	183	118	72	162	389	176
1198	216	184	206	254	163	285	177
1199	116	33	201	255	33	111	105
1200	185	32	207	256	86	111	178
1201	83	19	91	257	58	178	72
1202	217	185	32	258	89	390	179
1203	44	71	198	48	164	391	180
1204	7	6	10	6	1	271	1
1205	9	10	15	6	8	392	1
1206	34	1	57	3	3	1	2
1207	3	9	9	3	3	105	5
1208	131	186	21	72	34	285	50
1209	58	71	46	259	16	285	147
1210	7	6	8	7	6	7	1
1211	5	8	17	5	6	2	1
1212	7	187	10	6	1	2	1
1213	218	30	53	260	27	390	26
1214	219	30	198	158	27	393	27
1215	1	9	1	3	7	1	5
1216	7	10	10	6	1	2	1
1217	8	6	8	8	6	37	1
1218	1	1	11	14	2	1	5
1219	1	1	11	7	6	1	5
1220	12	1	4	11	3	39	4
1221	12	1	4	4	3	39	4
1222	12	1	11	14	3	39	4
1223	12	8	4	14	3	39	4
1224	12	1	11	11	3	39	4
1225	12	1	4	14	2	39	4
1226	12	1	4	11	2	39	4
1227	5	8	5	8	6	2	1
1228	7	6	8	14	3	37	1
1229	220	188	208	262	165	394	181
1230	221	189	157	263	166	395	182
1231	222	190	209	263	167	396	182
1232	7	13	19	6	1	125	1
1233	7	10	16	7	5	398	1
1234	2	1	11	3	3	104	7
1235	7	7	3	10	5	399	1
1236	4	4	4	3	2	43	5
1237	3	18	27	3	4	106	184
1238	7	7	3	10	5	253	1
1239	1	1	1	1	3	1	3
1240	3	9	1	3	7	5	3
