ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
217	1	9	1	3	7	5	3
218	3	1	1	16	7	1	4
219	1	2	9	1	2	5	3
220	1	3	7	2	4	1	2
221	11	3	4	15	3	1	2
222	21	6	15	8	6	2	14
223	33	5	6	4	1	4	1
224	11	3	12	38	3	94	2
225	4	4	4	3	2	95	5
226	7	10	17	6	1	96	1
227	5	8	5	7	26	2	1
228	4	4	4	3	2	97	5
229	5	29	8	21	1	87	1
230	5	10	15	6	8	26	1
231	5	8	5	7	6	88	1
232	5	6	2	29	5	89	1
233	34	12	11	43	3	1	2
234	5	7	3	5	1	91	6
235	4	4	4	3	2	1	22
236	7	6	8	8	19	37	1
237	7	10	16	7	5	92	1
238	7	7	3	10	5	93	1
239	7	10	16	7	5	16	1
240	2	1	1	17	2	1	3
241	11	1	12	16	3	1	21
242	1	2	12	3	2	98	3
243	3	1	1	42	3	1	3
244	1	1	11	11	2	99	5
245	1	1	11	11	2	29	5
246	1	1	11	11	2	100	5
247	35	1	11	11	2	11	5
248	3	1	1	1	3	90	3
249	3	18	27	3	4	1	23
250	3	18	27	3	4	48	23
251	1	2	12	3	2	5	5
252	3	1	1	1	3	101	3
253	3	18	27	3	4	30	23
254	3	9	9	3	3	102	5
255	3	1	1	44	3	103	3
256	3	1	1	1	3	104	3
257	1	1	11	11	2	30	5
258	3	1	1	1	3	105	3
259	1	1	11	11	2	59	5
260	5	15	10	8	11	14	9
261	37	30	41	46	27	107	24
262	38	31	42	47	28	108	25
263	39	32	35	48	29	109	26
264	40	30	42	49	30	110	27
265	41	33	43	50	31	111	28
266	42	34	44	51	16	112	29
267	40	30	42	52	32	113	25
268	43	35	45	53	33	114	30
269	41	36	46	54	34	115	28
270	5	6	19	6	1	24	1
271	7	10	17	20	1	26	1
272	1	1	11	11	2	116	5
273	4	4	49	3	2	1	5
274	11	12	4	15	3	9	2
275	7	6	8	8	6	117	1
276	1	1	11	11	2	118	5
277	1	38	11	11	2	1	5
278	3	1	1	1	3	30	3
279	1	9	12	56	2	1	3
280	4	4	4	57	2	9	5
281	4	4	4	57	2	1	5
282	11	1	12	16	3	9	7
283	9	10	15	6	8	119	1
284	1	9	12	17	2	28	5
285	11	1	12	16	3	120	32
286	11	1	12	16	3	1	32
287	4	4	4	3	2	90	5
288	34	39	11	15	3	1	2
289	5	6	2	9	5	121	1
290	1	1	11	11	2	11	5
291	1	1	11	11	2	10	5
292	57	6	2	29	5	3	1
295	4	39	11	60	3	1	2
296	12	12	12	61	3	1	4
297	5	42	5	7	6	2	1
298	45	1	1	1	3	1	3
299	22	33	21	24	17	31	13
300	7	5	8	4	6	37	1
301	6	10	6	7	1	4	1
302	6	10	16	7	5	2	1
303	6	8	5	7	6	41	1
304	7	5	6	4	1	62	1
305	6	1	4	14	3	39	4
306	5	5	6	4	1	62	1
307	7	29	8	4	1	2	1
308	3	1	1	1	18	1	3
309	22	33	21	24	17	31	3
310	12	1	4	14	3	124	4
311	7	10	16	8	5	2	1
312	12	5	6	4	1	62	1
313	17	13	3	6	5	125	1
314	7	6	19	6	1	126	1
315	3	18	27	3	4	127	5
316	7	6	19	6	1	127	1
317	1	2	12	3	2	5	33
318	46	1	11	3	3	1	7
319	4	4	4	3	2	128	5
320	7	10	16	7	35	2	1
321	5	6	8	62	6	7	34
322	7	6	8	8	6	37	35
323	34	12	11	15	3	1	2
324	34	12	11	16	3	1	2
325	7	14	10	19	1	8	1
326	3	1	1	1	3	129	3
327	3	1	1	1	3	130	3
328	3	1	1	1	3	131	3
329	1	2	51	3	2	5	3
330	34	39	11	60	3	1	2
331	49	11	52	24	17	145	37
332	5	43	5	7	6	2	1
333	1	2	12	3	2	144	3
334	7	10	16	7	5	25	1
335	51	33	53	24	22	147	13
336	7	7	3	10	5	140	1
337	7	15	15	8	6	138	9
338	7	15	15	8	6	137	9
339	7	7	6	4	5	4	1
340	7	15	15	8	6	136	9
341	5	8	5	7	6	132	1
342	51	33	53	24	22	146	13
343	6	5	6	4	1	135	1
344	2	9	12	14	3	143	36
345	3	31	14	3	3	60	5
346	4	4	4	3	2	127	5
347	3	1	1	1	3	142	3
348	1	1	11	11	2	141	5
349	7	15	15	8	6	139	9
350	3	1	1	1	3	10	3
351	50	30	54	64	24	148	26
352	3	1	1	1	18	90	3
353	6	5	6	4	1	134	1
354	3	1	1	1	3	28	3
355	11	1	12	58	3	1	7
356	6	5	6	4	1	133	1
357	48	45	29	65	37	150	38
358	47	44	55	63	36	149	39
359	3	1	1	16	7	28	4
360	7	6	17	6	5	2	1
361	5	5	18	21	39	2	6
362	7	6	3	66	5	7	1
363	34	1	57	14	2	1	2
364	7	10	8	7	1	26	1
365	7	6	3	6	5	7	1
366	53	13	3	67	1	3	41
367	3	1	1	1	3	152	3
368	7	48	59	68	38	2	1
369	53	47	8	67	13	3	41
370	53	13	3	67	13	3	41
371	7	6	56	6	1	2	1
372	7	10	58	7	5	2	1
373	52	1	4	14	2	1	3
374	53	46	8	67	13	3	41
375	7	6	13	8	1	96	6
376	5	5	3	6	1	2	1
377	5	7	6	4	5	4	40
378	7	49	19	6	1	24	1
379	2	1	4	3	3	1	5
380	5	5	2	21	6	151	1
381	7	50	16	7	5	2	1
382	1	51	11	13	2	5	5
383	5	7	3	5	1	153	6
384	7	6	15	6	5	53	1
385	3	1	60	1	3	1	3
386	11	3	12	38	3	94	42
387	5	6	2	29	5	154	1
388	3	1	12	70	2	1	5
389	52	1	12	71	2	1	5
390	5	5	3	18	12	3	1
391	7	6	62	28	5	2	1
392	2	4	12	3	3	94	2
393	30	6	3	6	5	7	1
394	5	5	17	21	39	2	6
395	7	14	63	6	1	26	1
397	1	2	12	1	2	5	3
398	7	13	19	6	1	7	1
399	8	6	15	6	6	2	1
400	7	6	10	6	6	2	1
401	8	6	15	6	6	25	1
402	17	13	3	6	5	158	1
403	7	7	10	4	5	24	1
404	3	1	1	1	3	1	4
405	5	7	5	5	1	8	6
406	56	53	61	72	41	155	43
407	59	32	21	75	17	159	44
408	60	2	12	3	2	5	3
409	2	55	11	3	3	1	7
410	1	1	11	11	2	160	5
411	1	1	11	11	2	161	5
412	7	52	8	6	1	2	1
413	3	56	1	1	3	1	3
414	3	1	1	1	42	1	3
415	5	5	65	21	39	2	6
416	3	1	1	1	3	162	3
417	3	9	9	76	3	1	5
418	1	1	11	11	1	1	5
419	3	9	9	3	3	1	1
420	7	6	8	8	6	37	3
421	6	5	6	4	1	4	5
422	3	9	9	3	3	1	3
423	4	4	4	3	2	1	3
424	17	13	3	6	5	7	45
425	7	6	15	8	6	2	14
426	11	1	48	3	2	1	31
427	15	10	66	18	1	3	1
428	30	10	17	20	1	26	1
429	11	1	11	38	2	39	5
430	15	10	18	18	1	165	1
